,unlist.var_labels.
frbc_i,father rbc at 12y
fhb_i,father hb at 12y
fhct_i,father haematocrete at 12y
fmcv_i,father mcv at 12y
fmch_i,father mch  at 12y
fmchc_i,father mchc at 12y
frdw_i,father rdw at 12y
fplt_i,father platelet at 12y
fmpv_i,father mpv at 12y
fpct_i,father pct at 12y
fpdw_i,father pdw at 12y
fchol_i,father total cholesterol (mg%)  at 12y
ftg_i,father triglycerides (mg%) at 12y
fhdl_i,father total hdl cholesterol (mg%) at 12y
fldl_i,father ldl cholesterol using freiwald eqn  at 12y
fcreat_i,father creatinine (mg%)  at 12y
fb12_i,father b12 (pmol/l) at 12y
fSFOL_i,father serum folate (nmol/l) at 12y
fhcy_i,father homocysteine (MICRM/L) at 12y
cwbc6,f1 child wbc count at 6y
cly6,f1 child lymphocyte count at 6y
cmo6,f1 child monocyte count at 6y
cgr6,f1 child granulocyte count at 6y
clyno6,f1 child lymphocyte no at 6y
cmono6,f1 child monocyte no at 6y
cgrno6,f1 child granulocyte no at 6y
crbc6,f1 child rbc count at 6y
chb6,f1 child haemoglobin(gm%) at 6y
chct6,f1 child haematocrete at 6y
cmcv6,f1 child mcv at 6y
cmch6,f1 child mch at 6y
cmchc6,f1 child mchc at 6y
crdw6,f1 child red cell distribution width at 6y
cplt6,f1 child platelette count at 6y
cmpv6,f1 child mean platelette volume at 6y
crcf_6,f1 child serum rcf at 6y (ng/mL)
f1_c_hpylori_6y,f1 child H.Pylori (NTU/ml)  Novatec at 6y
ccrp_6,f1 child crp (mg/L) at 6y
cil6_6,f1 child interlukin-6 (pg/mL) at 6y
ctnf_6,f1 child tnf alpha (pg/mL) at 6y
ctotaladip_6,f1 child total adiponectin (µg/ml) at  6y
cinssp_6,f1 child split insulin (pmol/l) at 6y
cinspr_6,f1 child pro insulin(pmol/l) at 6y
clept_6,f1 child leptin (ng/ml) at 6y
crbp4_6,f1 child RBP4  (µg/ml) at 6y
fwbc6,father wbc count at 6y
fly6,father lymphocyte count at 6y
fmo6,father monocyte count at 6y
fgr6,father granulocyte count at 6y
flyno6,father lymphocyte no at 6y
fmono6,father monocyte no at 6y
fgrno6,father granulocyte no at 6y
frbc6,father rbc count at 6y
fhb6,father haemoglobin(gm%) at 6y
fhct6,father haematocrete at 6y
fmcv6,father mcv at 6y
fmch6,father mch at 6y
fmchc6,father mchc at 6y
frdw6,father red cell distribution width at 6y
fplt6,father platelette count at 6y
fmpv6,father mean platelette volume at 6y
fchol6,father cholesterol (mg%) at 6y
ftg6,father triglycerides (mg%) at 6y
fhdl6,father HDL cholesterol (mg%) at 6y
fscreat6,father serum creatinine (mg%) at 6y
fins30_6,father 30 min insulin(mu/l) at 6y
fins2h_6,father 120 min insulin (mu/l) at 6y
fb12_6yr,father Vitamin B12 (pM) at 6y
fsfol_6yr,father Plasma Folate (nM) at 6y
fhcy_6yr,father homocysteine (micromol/L) on Architet machine at 6y
fhcy_com_6yr,father any comment on Total Homocysteine at 6y
mwbc6,mothers wbc count at 6y
mly6,mother lymphocyte count at 6y
mmo6,mother monocyte count at 6y
mgr6,mother granulocyte count at 6y
mlyno6,mother lymphocyte no at 6y
mmono6,mother monocyte no at 6y
mgrno6,mother granulocyte no at 6y
mrbc6,mother rbc count at 6y
mhb6,mother haemoglobin(gm%) at 6y
mhct6,mother haematocrete at 6y
mmcv6,mother mcv at 6y
mmch6,mother mch at 6y
mmchc6,mother mchc at 6y
mrdw6,mother red cell distribution width at 6y
mplt6,mother platelette count at 6y
mmpv6,mother mean platelette volume at 6y
mchol6,mother cholesterol (mg%) at 6y
mhdl6,mother  HDL cholesterol (mg%) at 6y
mtg6,mother triglycerides (mg%) at 6y
mscreat6,mother serum creatinine (mg%) at 6y
mins30_6,mother 30 min insulin(mu/l) at 6y
