,unlist.var_labels.
risk2_3,neonatal death
risk2_4,preterm delivery
risk2_5,other bad obstetric history
risk3_1,anaemia
risk3_2,febrile illness
risk3_3,jaundice
risk3_4,heart disease
risk3_5,other concurrent medical problems
risk4_1,threatened abortion
risk4_2,pih
risk4_3,antepartum haemorhage
risk4_4,iugr
risk4_5,prev caesarean section
risk4_6,prev instrumental delivery
risk4_7,other obstetric complication
risk1,patient characteristics
risk2,bad obstetric history
risk3,concurrent medical problems
risk4,obstetric complications
sstr1,s/t ratio at 18 wks
sstr2,s/t ratio at 28 wks
cecw6,Child-extra cellular volume at 6y using bioimpedence
ctbw6,Child-total body water at 6y using bioimpedence
cimp6,child-impedance at 50 mHz using bioimpedence
cfreq6,Type of Machine used for bioimpedence at 6y
cbptemp6,temparature during childs bp recording(oc) at 6y
fbptemp6,temparature during fathers bp recording(oc) at 6y
mbptemp6,temparature during mothers bp recording(oc) at 6y
cbphum6,humidity during childs bp recording(%) at 6y
fbphum6,humidity during fathers bp recording(%) at 6y
mbphum6,humidity during mothers bp recording(%) at 6y
csyst6,childs systolic bp(mmhg) at 6y
msyst6,mothers systolic bp(mmhg) at 6y
cdia6,childs diastolic bp(mmhg) at 6y
mdia6,mothers diastolic bp(mmhg) at 6y
cmap6,childs mean art bp(mmhg) at 6y
fmap6,fathers mean art bp(mmhg) at 6y
mmap6,mothers mean art bp(mmhg) at 6y
cpulse6,childs pulse (/min) at 6y
mpulse6,mothers pulse(/min) at 6y
cbpcode6,child bp recorder at 6y
fbpcode6,fathers bp recorder  at 6y
mbpcode6,mothers bp recorder at 6y
csht6,childs sitting height(cm) at 6y
fsht6,fathers sitting height(cm) at 6y
msht6,mothers sitting height(cm) at 6y
chc6,childs head circ(cm) at 6y
cma6,childs mid arm circ(cm) at 6y
fma6,fathers mid arm circ(cm) at 6y
mma6,mothers mid arm circ(cm) at 6y
cwaist6,childs waist circ(cm) at 6y
chip6,childs hip circ(cm) at 6y
fbi6,fathers bicep skinfold(mm)  at 6y
mbi6,mothers bicep skinfold(mm)  at 6y
ftr6,fathers tricep skinfold(mm)   at 6y
mtr6,mothers tricep skinfold(mm)  at 6y
fss6,fathers subscapular skinfold(mm)  at 6y
mss6,mothers subscapular skinfold(mm)  at 6y
fsu6,fathers suprailiac skinfold(mm)  at 6y
msu6,mothers suprailiac skinfold(mm)  at 6y
cmthigh6,childs mid thight circ(cm)  at 6y
fmthigh6,fathers mid thigh circ(cm)  at 6y
mmthigh6,mothers mid thigh circ(cm)  at 6y
cmcalf6,child mid calf circ(cm)  at 6y
fmcalf6,fathers mid calf circ(cm) at 6y
mmcalf6,mothers mid calf circ(cm) at 6y
cmthsf6,childs mid thigh skinfold(mm) at 6y
fmthsf6,fathers mid thigh skinfold(mm) at 6y
mmthsf6,mothers mid thigh skinfold(mm) at 6y
cmcasf6,childs mid calf skinfold(mm) at 6y
fmcasf6,fathers mid calf skinfold(mm) at 6y
mmcasf6,mothers mid calf skinfold(mm) at 6y
canthc6,childs anthro at 6y done by
fanthc6,fathers anthro at 6y done by
manthc6,mothers anthro at 6y done by
canth6,child anthro  done at 6y
fanth6,father anthro done at 6y
manth6,mother anthro done at 6y
cbp6,child bp recorded at 6y
fbp6,father bp recorded at 6y
mbp6,mother bp recorded at 6y
csfrt6,child skinfolds measured on right side at 6y
fsfrt6,father skinfolds measured on right side at 6y
msfrt6,mother  skinfolds measured on right side at 6y
cbplh6,child BP measured on left side at 6y
fbplh6,father BP measured on left side at 6y
mbplh6,mother  BP measured on left side at 6y
falive6,father alive at 6yrs?
malive6,mother alive at 6yrs?
mpreg6,mother pregnant at 6yrs
fdm6,father has diabetes? at 6y
mdm6,mother has diabetes? at 6y
fdmage6,fathers age(yrs)  at diagnosis of diabetes
mdmage6,mothers age (yrs) at diagnosis of diabetes
fhyp6,father has hypertension? at 6y
mhyp6,mother has hypertension? at 6y
fhypage6,fathers age(yrs)  at diagnosis of hypertension
mhypage6,mothers age (yrs) at diagnosis of hypertension
fihd6,father has ihd? at 6y
mihd6,mother has ihd? at 6y
fihdage6,fathers age(yrs)  at diagnosis of ihd
mihdage6,mothers age (yrs) at diagnosis of ihd
fast6,father has asthama? at 6y
mast6,mother has asthama? at 6y
fastage6,fathers age(yrs)  at diagnosis of asthama
mastage6,mothers age (yrs) at diagnosis of asthama
chbsag6,child hbsag at 6y
fhbsag6,father hbsag at 6y
mhbsag6,mother hbsag at 6y
cbgrp6,child blood group rec at 6y
crh6,child rh factor recorded at 6y
ccbgrp6,child blood grp  recorded  at 6y (string)
fbgrp6,father blood group rec at 6y
frh6,father rh factor recorded at 6y
fcbgrp6,father  blood grp  recorded  at 6y (string)
mbgrp6,mother blood group rec at 6y
mrh6,mother rh factor recorded at 6y
mcbgrp6,mother blood grp  recorded  at 6y (string)
cgttcd6,childs gtt outcome at 6yr
cgttrs6,reason for no childs gtt at 6yr
fgttcd6,fathers gtt outcome at 6yr
fgttrs6,reason for no father gtt at 6yr
mgttcd6,fathers gtt outcome at 6yr
mgttrs6,reason for no mother gtt at 6yr
mig,any migration ?
consang,h/o consanguinity
typecons,grade of consanguinity
bfst6,breast feeding started on which day of life? (rec  at 6y)
weanst6,weaning started at which month? (rec at 6y)
weanty6,type of weaning (rec at 6y)
bfstop6,month breast feeding stopped (rec at 6y)
sph6,sphincter control at  6y?
ncinsf_6,normalized childs fast inulin at 6y –log
grav6,maternal gravida recorded at 6y (post pmns)
para6,maternal parity  recorded at 6y (post pmns)
abort6,maternal abortions recorded at 6y (post pmns)
sli_1,read & write at 6y
sli_3,occupation at 6y
sli_4,religon
sli_4sp,other religion
sli_5,caste
sli_6,family type
sli_7,total no of persons
sli_8,drinking water source
sli_9,toilet facility
sli_10,light source
sli_10sp,other light source details
sli_11,no of rooms in house
sli_12,separate kithchen?
sli_13,fuel type
sli_13sp,other fuel type
sli_14,house ownership
sli_15,house type
sli_16,agriculture land ownership
sli_16sp,size of agriculture land
sli_17,size of irrigated land
sli_18,any livestock?
sli_18sp,total livestock
sli_18ty,livestock details
slit1,matress
slit2,pressure cooker
slit3,chair
slit4,"bed,cot"
slit5,table
slit6,"clock,watch"
slit7,electric fan
slit8,bicycle
slit9,"redio,transistor"
slit10,tv
slit11,colour tv
slit12,2 whheler
slit13,4 wheeler
slit14,water pump
slit15,bullock cart
slit16,thresher
slit17,tractor
slit18,refrigerator
slit19,telephone
slit20,sewing machione
slit21,iron
slit22,private well
k3,education in yrs
k1,occupation type
k2,caste
k9,type of house
slimig,is place of work & res same?
slimigsp,place of work
sli_18a,no of cows
sli_18b,no of buffaloes
sli_18c,no of goats
sli_18d,no of bullocks
sli_18e,no of other livestock
sli_19,any graduate or suppl source of livelihood?
cdexa6,Child dexa done at 6y
fdexa6,Father dexa done at 6y
mdexa6,Mother dexa done at 6y
cloc6,File location of child dxa scan at 6y
floc6,File location of father dxa scan at 6y
mloc6,File location of mother dxa scan at 6y
cbfname6,child dxa scan file name at 6y
fbfname6,father dxa scan file name at 6y
mbfname6,mother dxa scan file name at 6y
cscan_dt6,child dxa scan date at 6y
fscan_dt6,father dxa scan date at 6y
mscan_dt6,mother  dxa scan date at 6y
cdxht6,child height measured for dexa at 6y
fdxht6,fathers height measured for dexa at 6y
mdxht6,mothers height measured for dexa at 6y
cdxwt6,childs weight measured for dexa at 6y
fdxwt6,fathers weight measured for dexa at at 6y
mdxwt6,mothers weight measured for dexa at 6y
cbmd_0,childs head bmd at 6y
fbmd_0,fathers head bmd at 6y
mbmd_0,mothers head bmd at 6y
cbmd_1,childs arm bmd at 6y
fbmd_1,fathers arm bmd at 6y
mbmd_1,mothers arm bmd at 6y
cbmd_2,childs leg bmd at 6y
fbmd_2,fathers leg  bmd at 6y
mbmd_2,mothers leg bmd at 6y
cbmd_3,childs trunk bmd at 6y
fbmd_3,fathers trunk bmd at 6y
mbmd_3,mothers  trunk bmd at 6y
cbmd_4,childs head bmd at 6y
fbmd_4,fathers head bmd at 6y
mbmd_4,mothers head bmd at 6y
cbmd_5,childs pelvis bmd at 6y
fbmd_5,fathers pelvis bmd at 6y
mbmd_5,mothers pelvis bmd at 6y
cbmd_6,childs spine bmd at 6y
fbmd_6,fathers spine bmd at 6y
mbmd_6,fathers spine bmd at 6y
cbmd_7,childs spine1 bmd at 6y
fbmd_7,fathers spine1bmd at 6y
mbmd_7,fathers spine1 bmd at 6y
cbmd_8,childs spine2 bmd at 6y
fbmd_8,fathers spine2 bmd at 6y
mbmd_8,fathers spine2  bmd at 6y
cbmd_9,childs total bmd at 6y
fbmd_9,fathers total  bmd at 6y
mbmd_9,mothers spine bmd at 6y
cbmc_0,childs  head bone mineral content at 6y
fbmc_0,fathers head bone mineral content at 6y
mbmc_0,mothers  head bone mineral content at 6y
cbmc_1,childs  arm bone mineral content at 6y
fbmc_1,fathers arm bone mineral content at 6y
mbmc_1,mothers arm bone mineral content at 6y
cbmc_2,childs  leg bone mineral content at 6y
fbmc_2,fathers leg bone mineral content at 6y
mbmc_2,mothers  leg  bone mineral content at 6y
cbmc_3,childs  trunk bone mineral content at 6y
fbmc_3,fathers trunk bone mineral content at 6y
mbmc_3,mothers  trunk bone mineral content at 6y
cbmc_4,childs  ribs bone mineral content at 6y
fbmc_4,fathers ribs bone mineral content at 6y
mbmc_4,mothers  ribs bone mineral content at 6y
cbmc_5,childs pelvis bone mineral content at 6y
fbmc_5,fatherspelvis bone mineral content at 6y
mbmc_5,mothers  pelvis bone mineral content at 6y
cbmc_6,childs  spine bone mineral content at 6y
fbmc_6,fathers  spine bone mineral content at 6y
mbmc_6,mothers  spine bone mineral content at 6y
cbmc_7,childs  spine1 bone mineral content at 6y
fbmc_7,fathers  spine1 bone mineral content at 6y
mbmc_7,mothers  spine1 bone mineral content at 6y
cbmc_8,childs  spine2 bone mineral content at 6y
fbmc_8,fathers  spine2 bone mineral content at 6y
mbmc_8,mothers  spine2 bone mineral content at 6y
cbmc_9,childs  total  bone mineral content at 6y
fbmc_9,fathers  total bone mineral content at 6y
mbmc_9,mothers  total bone mineral content at 6y
carea_0,child head area at 6y
farea_0,father head area at 6y
marea_0,mother head area at 6y
carea_1,child arms area at 6y
farea_1,father arms area at 6y
marea_1,mother arm  area at 6y
carea_2,child leg area at 6y
farea_2,father leg  area at 6y
marea_2,mother leg  area at 6y
carea_3,child trunk area at 6y
farea_3,father trunk area at 6y
marea_3,mother trunk area at 6y
carea_4,child rib area at 6y
farea_4,father rib area at 6y
marea_4,mother rib area at 6y
carea_5,child pelvis  area at 6y
farea_5,father pelvis area at 6y
marea_5,motherpelvis  area at 6y
carea_6,child spine area at 6y
farea_6,father spine  area at 6y
marea_6,mother spine area at 6y
carea_7,child spine1 area at 6y
farea_7,father spine1 area at 6y
marea_7,mother spine1 area at 6y
carea_8,child spine2 area at 6y
farea_8,father spine2 area at 6y
marea_8,mother spine2 area at 6y
carea_9,child total area at 6y
farea_9,father total  area at 6y
marea_9,mother total area at 6y
cstiss_0,childs  head soft tissue in gm at 6y
fstiss_0,fathers  head soft tissue in gm at 6y
mstiss_0,mothers  head soft tissue in gm at 6y
cstiss_1,childs  arm soft tissue in gm at 6y
fstiss_1,fathers  arm soft tissue in gm at 6y
mstiss_1,mothers  arm soft tissue in gm at 6y
cstiss_2,childs  leg soft tissue in gm at 6y
fstiss_2,fathers  leg  soft tissue in gm at 6y
mstiss_2,mothers  leg soft tissue in gm at 6y
cstiss_3,childs  trunk soft tissue in gm at 6y
fstiss_3,fathers trunk soft tissue in gm at 6y
mstiss_3,mothers  trunk soft tissue in gm at 6y
cstiss_4,childs  ribs soft tissue in gm at 6y
fstiss_4,fathers  ribs soft tissue in gm at 6y
mstiss_4,mothers  ribs soft tissue in gm at 6y
cstiss_5,childs  pelvis  soft tissue in gm at 6y
fstiss_5,fathers  pelvis soft tissue in gm at 6y
mstiss_5,mothers  pelvis soft tissue in gm at 6y
cstiss_6,childs  spine soft tissue in gm at 6y
fstiss_6,fathers  spine soft tissue in gm at 6y
mstiss_6,mothers  spine soft tissue in gm at 6y
cstiss_7,childs  spine1 soft tissue in gm at 6y
fstiss_7,fathers  spine1 soft tissue in gm at 6y
mstiss_7,mothers  spine1 soft tissue in gm at 6y
cstiss_8,childs  spine2 soft tissue in gm at 6y
fstiss_8,fathers  spine2 soft tissue in gm at 6y
mstiss_8,mothers  spine2soft tissue in gm at 6y
cstiss_9,childs  total soft tissue in gm at 6y
fstiss_9,fathers  total soft tissue in gm at 6y
mstiss_9,mothers  total  soft tissue in gm at 6y
cdxfat_0,childs head fat in gm at 6y
fdxfat_0,fathers head fat in gm at 6y
mdxfat_0,mothers  head fat in gm at 6y
cdxfat_1,childs arm fat in gm at 6y
fdxfat_1,fathers arm fat in gm at 6y
mdxfat_1,mothers  arm fat in gm at 6y
cdxfat_2,childs leg fat in gm at 6y
fdxfat_2,fathers leg fat in gm at 6y
mdxfat_2,mothers  leg  fat in gm at 6y
cdxfat_3,childs trunk fat in gm at 6y
fdxfat_3,fathers trunk  fat in gm at 6y
mdxfat_3,mothers  trunk   fat in gm at 6y
cdxfat_4,child ribs fat in gm at 6y
fdxfat_4,fathers ribs fat in gm at 6y
mdxfat_4,mothers  ribs  fat in gm at 6y
cdxfat_5,childs pelvis fat in gm at 6y
fdxfat_5,fathers pelvis fat in gm at 6y
mdxfat_5,mothers pelvis  fat in gm at 6y
cdxfat_6,childs spine fat in gm at 6y
fdxfat_6,fathersspine fat in gm at 6y
mdxfat_6,mothers  spine  fat in gm at 6y
cdxfat_7,childs spine1 fat in gm at 6y
fdxfat_7,fathersspine1 fat in gm at 6y
mdxfat_7,mothers  spine1  fat in gm at 6y
cdxfat_8,childs spine2  fat in gm at 6y
fdxfat_8, fathers spine2 fat in gm at 6y
mdxfat_8,mothers  spine2  fat in gm at 6y
cdxfat_9,childs total  fat in gm at 6y
fdxfat_9, fathers total fat in gm at 6y
mdxfat_9,mothers  total  fat in gm at 6y
clean_0,childs head lean tissue in gm at 6y
flean_0,fathers head lean tissue in gm at 6y
mlean_0,mothers head lean tissue in gm at 6y
clean_1,childs  arm lean tissue in gm at 6y
flean_1,fathers arm lean tissue in gm at 6y
mlean_1,mothersarm lean tissue in gm at 6y
clean_2,childs leg lean tissue in gm at 6y
flean_2,fathers leg lean tissue in gm at 6y
mlean_2,mothers leg lean tissue in gm at 6y
clean_3,childs trunk lean tissue in gm at 6y
flean_3,fathers head lean tissue in gm at 6y
mlean_3,mothers head lean tissue in gm at 6y
clean_4,childs ribs lean tissue in gm at 6y
flean_4,fathers ribs lean tissue in gm at 6y
mlean_4,mothers ribs  lean tissue in gm at 6y
clean_5,childs pelvis lean tissue in gm at 6y
flean_5,fathers pelvis lean tissue in gm at 6y
mlean_5,mothers pelvis lean tissue in gm at 6y
clean_6,childs spine lean tissue in gm at 6y
flean_6,fathers spine lean tissue in gm at 6y
mlean_6,mothers spine  lean tissue in gm at 6y
clean_7,childs spine1 lean tissue in gm at 6y
flean_7,fathers spine1 lean tissue in gm at 6y
mlean_7,mothers spine1  lean tissue in gm at 6y
clean_8,childs spine2 lean tissue in gm at 6y
flean_8,fathers spine2 lean tissue in gm at 6y
mlean_8,mothers spine2  lean tissue in gm at 6y
clean_9,childs total lean tissue in gm at 6y
flean_9,fathers  total lean tissue in gm at 6y
mlean_9,motherstotal  lean tissue in gm at 6y
cftdxp_0,childs head total(bmc+tissue) fat% at 6y
cftdxp_1,childs arm total(bmc+tissue) fat% at 6y
cftdxp_2,childs leg total(bmc+tissue) fat% at 6y
cftdxp_3,childs trunk total(bmc+tissue) fat% at 6y
cftdxp_4,childs ribs total(bmc+tissue) fat% at 6y
cftdxp_5,childs pelvis total(bmc+tissue) fat% at 6y
cftdxp_6,childs spine total(bmc+tissue) fat% at 6y
cftdxp_7,childs spine1 total(bmc+tissue) fat% at 6y
cftdxp_8,childs spine2 total(bmc+tissue) fat% at 6y
cftdxp_9,childs  total(bmc+tissue) fat% at 6y
fftdxp_0,fathers head total(bmc+tissue) fat% at 6y
fftdxp_1,fathers arm total(bmc+tissue) fat% at 6y
fftdxp_2,fathers leg total(bmc+tissue) fat% at 6y
fftdxp_3,fathers trunk total(bmc+tissue) fat% at 6y
fftdxp_4,fathers ribs total(bmc+tissue) fat% at 6y
fftdxp_5,fathers pelvis total(bmc+tissue) fat% at 6y
fftdxp_6,fathers spine total(bmc+tissue) fat% at 6y
fftdxp_7,fathers spine1 total(bmc+tissue) fat% at 6y
fftdxp_8,fathers spine2 total(bmc+tissue) fat% at 6y
mftdxp_0,mothers head total(bmc+tissue) fat% at 6y
mftdxp_1,mothers arm total(bmc+tissue) fat% at 6y
mftdxp_2,mothers leg total(bmc+tissue) fat% at 6y
mftdxp_3,mothers trunk total(bmc+tissue) fat% at 6y
mftdxp_4,mothers ribs total(bmc+tissue) fat% at 6y
mftdxp_5,mothers pelvis total(bmc+tissue) fat% at 6y
mftdxp_6,mothers spine total(bmc+tissue) fat% at 6y
mftdxp_7,mothers spine1 total(bmc+tissue) fat% at 6y
mftdxp_8,mothers spine2 total(bmc+tissue) fat% at 6y
clndxp_0,childs head total(bmc+tissue) lean% at 6y
clndxp_1,childs arm total(bmc+tissue) lean% at 6y
clndxp_2,childs leg total(bmc+tissue) lean% at 6y
clndxp_3,childs trunk total(bmc+tissue) lean% at 6y
clndxp_4,childs ribs total(bmc+tissue) lean% at 6y
clndxp_5,childspelvis total(bmc+tissue) lean% at 6y
clndxp_6,childs spine total(bmc+tissue) lean% at 6y
clndxp_7,childs spine1 total(bmc+tissue) lean% at 6y
clndxp_8,childs spine2 total(bmc+tissue) lean% at 6y
clndxp_9,childs  total(bmc+tissue) lean% at 6y
flndxp_0,fathers head total(bmc+tissue) lean% at 6y
flndxp_1,fathers arm total(bmc+tissue) lean% at 6y
flndxp_2,fathers leg total(bmc+tissue) lean% at 6y
flndxp_3,fathers trunk total(bmc+tissue) lean% at 6y
flndxp_4,fathers ribs total(bmc+tissue) lean% at 6y
flndxp_5,fathers pelvis total(bmc+tissue) lean% at 6y
flndxp_6,fathers spine total(bmc+tissue) lean% at 6y
flndxp_7,fathers spine1 total(bmc+tissue) lean% at 6y
flndxp_8,fathers spine2 total(bmc+tissue) lean% at 6y
flndxp_9,fathers  total(bmc+tissue) lean% at 6y
mlndxp_0,mothers head total(bmc+tissue) lean% at 6y
mlndxp_1,mothers arm total(bmc+tissue) lean% at 6y
mlndxp_2,mothers leg total(bmc+tissue) lean% at 6y
mlndxp_3,mothers trunk total(bmc+tissue) lean% at 6y
mlndxp_4,mothers ribs total(bmc+tissue) lean% at 6y
mlndxp_5,mothers pelvis total(bmc+tissue) lean% at 6y
mlndxp_6,mothers spine total(bmc+tissue) lean% at 6y
mlndxp_7,mothers spine1 total(bmc+tissue) lean% at 6y
mlndxp_8,mothers spine2 total(bmc+tissue) lean% at 6y
mlndxp_9,mothers  total(bmc+tissue) lean% at 6y
cbcdxp_0,childs head total(bmc+tissue) bmc% at 6y
cbcdxp_1,childs arm total(bmc+tissue) bmc% at 6y
cbcdxp_2,childs leg total(bmc+tissue) bmc% at 6y
cbcdxp_3,childs trunk total(bmc+tissue) bmc% at 6y
cbcdxp_4,childs ribs total(bmc+tissue) bmc% at 6y
cbcdxp_5,childs pelvis total(bmc+tissue) bmc% at 6y
cbcdxp_6,childs spine total(bmc+tissue) bmc% at 6y
cbcdxp_7,childs spine1 total(bmc+tissue) bmc% at 6y
cbcdxp_8,childs spine2 total(bmc+tissue) bmc% at 6y
cbcdxp_9,childs  total(bmc+tissue) bmc% at 6y
fbcdxp_0,fathers head total(bmc+tissue) bmc% at 6y
fbcdxp_1,fathers arm total(bmc+tissue) bmc% at 6y
fbcdxp_2,fathers leg total(bmc+tissue) bmc% at 6y
fbcdxp_3,fathers trunk total(bmc+tissue) bmc% at 6y
fbcdxp_4,fathers ribs total(bmc+tissue) bmc% at 6y
fbcdxp_5,fathers pelvis total(bmc+tissue) bmc% at 6y
fbcdxp_6,fathers spine total(bmc+tissue) bmc% at 6y
fbcdxp_7,fathers spine1 total(bmc+tissue) bmc% at 6y
fbcdxp_8,fathers spine2 total(bmc+tissue) bmc% at 6y
fbcdxp_9,fathers  total(bmc+tissue) bmc% at 6y
mbcdxp_0,mothers head total(bmc+tissue) bmc% at 6y
mbcdxp_1,mothers arm total(bmc+tissue) bmc% at 6y
mbcdxp_2,mothers leg total(bmc+tissue) bmc% at 6y
mbcdxp_3,mothers trunk total(bmc+tissue) bmc% at 6y
mbcdxp_4,mothers ribs total(bmc+tissue) bmc% at 6y
mbcdxp_5,mothers pelvis total(bmc+tissue) bmc% at 6y
mbcdxp_6,mothers spine total(bmc+tissue) bmc% at 6y
mbcdxp_7,mothers spine1 total(bmc+tissue) bmc% at 6y
mbcdxp_8,mothers spine2 total(bmc+tissue) bmc% at 6y
mbcdxp_9,mothers  total(bmc+tissue) bmc% at 6y
cbmi6,childs bmi at 6yrs
cwhr6,child whr  at 6yrs
csstr6,childs s-t ratio at 6yrs
fsstr6,fathers s-t ratio at 6yrs
msstr6,mothers s-t ratio at 6yrs
modi6,child studied at 6yrs
modimoth,non preg mothers at 6y
modifath,modi fathers at 6y
chomar6old,child homa resistance at 6y using mathews 1985 ref
fhomar6old,fathers homa resistance at 6y using mathews 1985 ref
mhomar6old,mothers homa resistance at 6y using mathews 1985 ref
cldl6,child LDL cholesterol at 6y (mg%) using friewald eqn
fldl6,father LDL cholesterol at 6y (mg%) using friewald eqn
mldl6,mother LDL cholesterol at 6y (mg%) using friewald eqn
a1_1,Tea score  using FFQ 1st pregnancy visit
a2_1,Milk score using FFQ 1st pregnancy visit
a3_1,Coffee score using FFQ 1st pregnancy visit
a4_1,Lemon squash score using FFQ 1st pregnancy visit
b1_1,Jawar/Sorgum Roti score using FFQ 1st pregnancy visit
b2_1,Bajra/Pearl Millet Roti score using FFQ 1st pregnancy visit
b3_1,Chapati  score using FFQ 1st pregnancy visit
b4_1,Tahlipith (Cereal+Pulse)  score using FFQ 1st pregnancy visit
b5_1,Dhirde (Bengal gram flour)  score using FFQ 1st pregnancy visit
b6_1,Khakra  score using FFQ 1st pregnancy visit
b7_1,Paratha(Potato Stuff)  score using FFQ 1st pregnancy visit
c1_1,Rice plain  score using FFQ 1st pregnancy visit
c2_1,Rice spicy  score using FFQ 1st pregnancy visit
c3_1,Rice seasoned  score using FFQ 1st pregnancy visit
c4_1,Khichdi  score using FFQ 1st pregnancy visit
c5_1,Sweet Rice  score using FFQ 1st pregnancy visit
c6_1,Biryani  score using FFQ 1st pregnancy visit
d1_1,Red gram curry  score using FFQ 1st pregnancy visit
d2_1,Green gram curry  score using FFQ 1st pregnancy visit
d3_1,Black gram curry  score using FFQ 1st pregnancy visit
d4_1,Bengal gram curry  score using FFQ 1st pregnancy visit
d5_1,Moth been curry  score using FFQ 1st pregnancy visit
d6_1,Bengal gram flour (Pithle)  score using FFQ 1st pregnancy visit
d7_1,Ground nut curry  score using FFQ 1st pregnancy visit
d8_1,Cow pea curry  score using FFQ 1st pregnancy visit
d9_1,Lentil curry  score using FFQ 1st pregnancy visit
d10_1,Val dal curry  score using FFQ 1st pregnancy visit
d11_1,Butter milk seasoned  score using FFQ 1st pregnancy visit
d12_1,Sandge amti  score using FFQ 1st pregnancy visit
d13_1,Jit wada/Wada Kanda  score using FFQ 1st pregnancy visit
d14_1,Dal kanda  score using FFQ 1st pregnancy visit
d15_1,Wafwade  score using FFQ 1st pregnancy visit
d16_1,Bhaji amti  score using FFQ 1st pregnancy visit
d17_1,Potatoe Grate-Kanda  score using FFQ 1st pregnancy visit
e1_1,Green gram W  score using FFQ 1st pregnancy visit
e2_1,Bengal gram W  score using FFQ 1st pregnancy visit
e3_1,Cowpea W  score using FFQ 1st pregnancy visit
e4_1,Horse gram W  score using FFQ 1st pregnancy visit
e5_1,Mothbean sprouted  score using FFQ 1st pregnancy visit
e6_1,Peas  score using FFQ 1st pregnancy visit
e7_1,Gavale Wal  score using FFQ 1st pregnancy visit
e8_1,Rajma  score using FFQ 1st pregnancy visit
e9_1,Red gram W  score using FFQ 1st pregnancy visit
e10_1,Black beans  score using FFQ 1st pregnancy visit
e11_1,Pavata  score using FFQ 1st pregnancy visit
e12_1,Massoor(lentil)  score using FFQ 1st pregnancy visit
e13_1,Hurads dal  score using FFQ 1st pregnancy visit
e14_1,Soyabean Usal  score using FFQ 1st pregnancy visit
f1_1,Potato  score using FFQ 1st pregnancy visit
f2_1,Onion  score using FFQ 1st pregnancy visit
f3_1,Brinjal  score using FFQ 1st pregnancy visit
f4_1,White pumpkin  score using FFQ 1st pregnancy visit
f5_1,Red pumpkin  score using FFQ 1st pregnancy visit
f6_1,Cluster beans  score using FFQ 1st pregnancy visit
f7_1,Lady finger  score using FFQ 1st pregnancy visit
f8_1,Knol-khol  score using FFQ 1st pregnancy visit
f9_1,Cabagge  score using FFQ 1st pregnancy visit
f10_1,Cauliflower  score using FFQ 1st pregnancy visit
f11_1,Bitter gourd  score using FFQ 1st pregnancy visit
f12_1,Ridge gourd  score using FFQ 1st pregnancy visit
f13_1,Capsicum  score using FFQ 1st pregnancy visit
f14_1,Drumstick  score using FFQ 1st pregnancy visit
f15_1,Shravan Ghevda  score using FFQ 1st pregnancy visit
f16_1,Tondali  score using FFQ 1st pregnancy visit
f17_1,Turmudya sheng  score using FFQ 1st pregnancy visit
f18_1,Walvar sheng  score using FFQ 1st pregnancy visit
f19_1,Mula(Raddish}  score using FFQ 1st pregnancy visit
f20_1,Suran  score using FFQ 1st pregnancy visit
f21_1,Chawli sheng (Cow pea)  score using FFQ 1st pregnancy visit
f22_1,Ghosale  score using FFQ 1st pregnancy visit
g1_1,Spinach  score using FFQ 1st pregnancy visit
g2_1,Fenugreek  score using FFQ 1st pregnancy visit
g3_1,Amaranthas  score using FFQ 1st pregnancy visit
g4_1,Safflower  score using FFQ 1st pregnancy visit
g5_1,Onion stalk  score using FFQ 1st pregnancy visit
g6_1,Bengal gram leaves  score using FFQ 1st pregnancy visit
g7_1,Colocasia  score using FFQ 1st pregnancy visit
g8_1,Coriander vadi  score using FFQ 1st pregnancy visit
g9_1,Shepu  score using FFQ 1st pregnancy visit
g10_1,Amaranth spined  score using FFQ 1st pregnancy visit
g11_1,Hatga  score using FFQ 1st pregnancy visit
g12_1,Chilu   score using FFQ 1st pregnancy visit
g13_1,Chuka/Chakwat   score using FFQ 1st pregnancy visit
g14_1,Ghas bhaji   score using FFQ 1st pregnancy visit
h1_1,Chili/Garlic   score using FFQ 1st pregnancy visit
h2_1,Groundnut   score using FFQ 1st pregnancy visit
h3_1,Sesame/Nigerseeds   score using FFQ 1st pregnancy visit
h4_1,Coconut   score using FFQ 1st pregnancy visit
h5_1,Onion   score using FFQ 1st pregnancy visit
h6_1,Tomato   score using FFQ 1st pregnancy visit
h7_1,Pickle   score using FFQ 1st pregnancy visit
h8_1,Papad/kurdai   score using FFQ 1st pregnancy visit
h9_1,Pudins(mint)   score using FFQ 1st pregnancy visit
h10_1,Sandge(fried)   score using FFQ 1st pregnancy visit
i1_1,Sago  score using FFQ 1st pregnancy visit
i2_1,Potato bhaji/Chivda  score using FFQ 1st pregnancy visit
i3_1,Groundnut chikki/ladoo  score using FFQ 1st pregnancy visit
i4_1,Groundnut/Jaggery  score using FFQ 1st pregnancy visit
i5_1,French millet  score using FFQ 1st pregnancy visit
i6_1,Sweet Potato  score using FFQ 1st pregnancy visit
i7_1,Others  score using FFQ 1st pregnancy visit
i8_1,Kachori score using FFQ 1st pregnancy visit
i9_1,Tilvadi  score using FFQ 1st pregnancy visit
i10_1,Rajgira Wadi  score using FFQ 1st pregnancy visit
i11_1,Sago wada  score using FFQ 1st pregnancy visit
j1_1,Zyzapus  score using FFQ 1st pregnancy visit
